File, Cycle, Orbit, Date, Time, image_coords, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LFR____20200721T085534_20200721T085834_20200722T140942_0179_041_221_2340_LN1_O_NT_002.SEN3, 041,221,2020-07-21 08:57:11.233347, (1807, 4225), 23.7796818931, 35.3377845486, 7.2, 11.60946860596243, 0, 0.59999996
S3B_OL_2_LFR____20200803T081809_20200803T082109_20200804T120929_0179_042_021_2340_LN1_O_NT_002.SEN3, 042,021,2020-08-03 08:20:14.002274, (2421, 1145), 23.7796818931, 35.3377845486, 17.099998, 21.1286148047472, 0, 0.59999996
S3B_OL_2_LFR____20200810T083652_20200810T083952_20200811T122310_0179_042_121_2340_LN1_O_NT_002.SEN3, 042,121,2020-08-10 08:38:44.067707, (2144, 2693), 23.7796818931, 35.3377845486, 19.199999, 28.969877863504802, 91, 0.59999996
S3B_OL_2_LFR____20200815T080656_20200815T080956_20200816T122417_0179_042_192_2340_LN1_O_NT_002.SEN3, 042,192,2020-08-15 08:09:06.964153, (2558, 212), 23.7796818931, 35.3377845486, 11.699999, 14.565451775827716, 0, 0.59999996
S3B_OL_2_LFR____20200822T082538_20200822T082838_20200823T124555_0179_042_292_2340_LN1_O_NT_002.SEN3, 042,292,2020-08-22 08:27:38.489275, (2320, 1764), 23.7796818931, 35.3377845486, 8.999999, 14.677210354283995, 0, 0.29999998
S3B_OL_2_LFR____20200830T081809_20200830T082109_20200831T122055_0179_043_021_2340_LN1_O_NT_002.SEN3, 043,021,2020-08-30 08:20:13.897232, (2425, 1148), 23.7796818931, 35.3377845486, 9.9, 12.629343692767632, 0, 0.59999996
S3B_OL_2_LFR____20200909T085917_20200909T090217_20200910T140353_0179_043_164_2340_LN1_O_NT_002.SEN3, 043,164,2020-09-09 09:00:51.467352, (1739, 4531), 23.7796818931, 35.3377845486, 15.599999, 20.626314604909798, 70, 0.9
S3A_OL_2_LFR____20200908T082352_20200908T082652_20200909T122609_0180_062_292_2340_LN1_O_NT_002.SEN3, 062,292,2020-09-08 08:25:53.477169, (2343, 1613), 23.7796818931, 35.3377845486, 14.099999, 17.888240282294902, 0, 0.59999996
S3A_OL_2_LFR____20200911T084619_20200911T084919_20200912T134709_0179_062_335_2340_LN1_O_NT_002.SEN3, 062,335,2020-09-11 08:48:04.613006, (1985, 3463), 23.7796818931, 35.3377845486, 14.4, 18.761705410468096, 0, 0.9
S3A_OL_2_LFR____20200912T082009_20200912T082309_20200913T130324_0179_062_349_2340_LN1_O_NT_002.SEN3, 062,349,2020-09-12 08:22:11.916058, (2395, 1302), 23.7796818931, 35.3377845486, 11.099999, 17.100519809457992, 40, 0.59999996
S3A_OL_2_LFR____20200915T084235_20200915T084535_20200916T125004_0180_063_007_2340_LN1_O_NT_002.SEN3, 063,007,2020-09-15 08:44:23.761320, (2053, 3156), 23.7796818931, 35.3377845486, 18.3, 23.68877559085544, 27, 0.9
S3A_OL_2_LFR____20200916T081625_20200916T081925_20200917T120817_0179_063_021_2340_LN1_O_NT_002.SEN3, 063,021,2020-09-16 08:18:30.229902, (2445, 991), 23.7796818931, 35.3377845486, 22.8, 27.070098080640353, 6, 0.9
S3A_OL_2_LFR____20200701T081243_20200701T081543_20200702T115107_0179_060_078_2340_LN1_O_NT_002.SEN3, 060,078,2020-07-01 08:14:50.502021, (2488, 679), 23.7796818931, 35.3377845486, 9.299999, 14.507699422608058, 0, 0.29999998
S3A_OL_2_LFR____20200703T090121_20200703T090421_20200704T135724_0179_060_107_2340_LN1_O_NT_002.SEN3, 060,107,2020-07-03 09:02:52.955845, (1692, 4683), 23.7796818931, 35.3377845486, 9.9, 12.317793224902356, 0, 0.59999996
